,id,title,popularity,release_date,vote_average,vote_count
0,969681,Spider-Man: Brand New Day,2011.4042,2026-07-28,7.989,843
1,1368337,The Odyssey,1053.6131,2026-07-15,7.95,2147
2,1081003,Supergirl,497.4835,2026-06-24,6.739,1491
3,634649,Spider-Man: No Way Home,487.6625,2021-12-15,7.935,22449
4,454639,Masters of the Universe,393.722,2026-06-03,7.274,1544
5,1275779,Disclosure Day,394.3346,2026-06-10,7.426,2319
6,1339713,Obsession,364.8722,2026-05-13,8.248,4184
7,1284465,The Death of Robin Hood,332.9399,2026-06-18,6.497,150
8,1108427,Moana,301.0393,2026-07-08,5.83,165
9,1084244,Toy Story 5,316.2019,2026-06-17,7.417,750
10,1481343,The Devil's Mouth,302.2541,2026-07-29,6.617,402
11,1315772,Minions & Monsters,275.5266,2026-06-24,6.4,253
12,980431,Avatar Aang: The Last Airbender,254.4263,2026-07-24,9.311,640
13,1083381,Backrooms,258.4743,2026-05-27,7.096,2475
14,1375646,Colony,210.7822,2026-05-21,8.08,388
15,1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,195.3807,2025-07-18,8.602,1589
16,1698863,The Odyssey,239.0727,2026-07-03,5.75,8
17,1564614,Leviticus,194.878,2026-06-17,6.152,102
18,1273221,Scary Movie,182.9806,2026-06-03,6.492,1420
19,557,Spider-Man,188.8814,2002-05-01,7.339,21000
20,1727780,Borderline,163.4223,2026-07-17,6.45,10
21,1273221,Scary Movie,182.9806,2026-06-03,6.5,1422
22,315635,Spider-Man: Homecoming,180.7367,2017-07-05,7.331,23466
23,687163,Project Hail Mary,162.7023,2026-03-15,8.658,6748
24,1314481,The Devil Wears Prada 2,154.8675,2026-04-29,7.104,1889
25,1110034,Kraken,155.2919,2026-02-06,6.3,258
26,1698856,Master of the Universe,124.9473,2026-05-22,4.763,40
27,47612,Au Bonheur des Dames,165.8721,1930-07-03,6.3,36
28,1523145,Your Heart Will Be Broken,126.2544,2026-03-26,7.046,120
29,1127384,Deep Water,109.7525,2026-04-30,7.194,348
30,1285366,Shape of My Heart,133.9328,2024-07-06,6.25,4
31,1228710,The Mandalorian and Grogu,109.9912,2026-05-20,7.426,1107
32,1510795,"Shake, Rattle & Roll: Evil Origins",124.7969,2026-06-05,3.0,4
33,1668364,Desire,112.7246,2026-05-07,6.802,179
34,429617,Spider-Man: Far From Home,114.0726,2019-06-28,7.395,17244
35,82976,The Novices,160.7638,1970-04-01,4.769,13
36,936075,Michael,108.7248,2026-04-22,8.697,3844
37,949838,72 HOURS,103.2815,2026-07-20,6.799,256
38,151024,The Soldier with Great Maneuvers,87.3865,1978-12-07,4.904,47
39,1280738,The Furious,106.3439,2026-06-10,7.3,285
40,931285,Mortal Kombat II,99.5231,2026-05-06,7.908,2257
41,1226863,The Super Mario Galaxy Movie,97.121,2026-04-01,8.262,3341
42,83533,Avatar: Fire and Ash,95.5319,2025-12-17,7.636,4031
43,1469342,Her Private Hell,85.3193,2026-07-23,5.0,26
44,1569947,The Priest: Thanksgiving Massacre,99.0936,2025-08-08,3.652,23
45,1430698,The Bay,86.0255,2026-07-02,6.5,17
46,1728704,Siping,94.488,2026-07-10,2.833,3
47,1307118,Soulm8te,89.4643,2026-07-31,6.284,37
48,1656061,Immortal Combat,85.9357,2026-04-24,4.853,17
49,1304313,Lee Cronin's The Mummy,79.4601,2026-04-15,7.942,2430
50,1382832,Hungry,77.0561,2026-06-03,7.231,195
51,1516698,The Last Sunrise,81.8402,2026-08-26,0.0,0
52,329505,Lola's Secret,81.8299,1984-05-04,7.049,71
53,1930,The Amazing Spider-Man,82.4019,2012-06-23,6.7,18778
54,299536,Avengers: Infinity War,83.8358,2018-04-25,8.24,32452
55,1439930,The Punisher: One Last Kill,80.6808,2026-05-12,8.301,1982
56,1318621,Descendants: Wicked Wonderland,71.0492,2026-07-16,7.6,137
57,102382,The Amazing Spider-Man 2,79.6107,2014-04-16,6.5,14467
58,1487861,Elize: Shadows of a Woman,78.0859,2026-07-22,7.387,119
59,278,The Shawshank Redemption,73.9571,1994-09-23,8.727,30924
60,1631506,The Hanged Woman,65.5772,2026-04-22,5.519,27
61,157336,Interstellar,75.6661,2014-11-05,8.484,40590
62,24428,The Avengers,73.4975,2012-04-25,8.062,39012
63,559,Spider-Man 3,72.0186,2007-05-01,6.469,15453
64,1290821,Shelter,70.4563,2026-01-28,7.771,1630
65,1007757,Swapped,65.4377,2026-05-01,8.893,2049
66,1003596,Avengers: Doomsday,65.0052,2026-12-16,0.0,0
67,755898,War of the Worlds,68.843,2025-07-29,4.076,1056
68,1327819,Hoppers,67.0007,2026-03-04,8.185,2092
69,652,Troy,62.816,2004-05-13,7.183,11300
70,324857,Spider-Man: Into the Spider-Verse,70.6052,2018-12-06,8.394,17533
71,569094,Spider-Man: Across the Spider-Verse,64.3963,2023-05-31,8.34,8900
72,44980,Zero Woman 2,77.8176,1995-09-05,5.0,8
73,1413976,Citizen Vigilante,56.341,2026-06-19,6.32,300
74,656908,Ramayana,60.1384,2026-11-08,0.0,0
75,1234821,Jurassic World Rebirth,59.5917,2025-06-23,6.273,3598
76,1084242,Zootopia 2,63.1069,2025-11-26,7.68,3194
77,155,The Dark Knight,60.8267,2008-07-16,8.534,36267
78,238,The Godfather,62.3851,1972-03-14,8.686,23261
79,822119,Captain America: Brave New World,60.3616,2025-02-12,5.961,3232
80,27205,Inception,59.7278,2010-07-15,8.372,39740
81,976912,Graphic Desires,53.1809,2023-08-31,7.074,135
82,1301421,The Sheep Detectives,55.6172,2026-04-30,7.921,1301
83,1419406,The Shadow's Edge,55.8319,2025-08-16,7.9,1058
84,271110,Captain America: Civil War,56.9967,2016-04-27,7.45,24264
85,1122573,In the Grey,54.3417,2026-05-13,7.556,644
86,617126,The Fantastic 4: First Steps,55.5106,2025-07-23,6.957,3608
87,1318447,Apex,52.1894,2026-04-24,6.877,1762
88,550,Fight Club,54.9333,1999-10-15,8.437,32518
89,286217,The Martian,50.4245,2015-09-30,7.705,21549
90,872585,Oppenheimer,53.9747,2023-07-19,8.024,12145
91,599335,OK! Madam,48.6735,2020-08-12,7.1,56
92,122,The Lord of the Rings: The Return of the King,54.2284,2003-12-17,8.502,26986
93,1307247,OK! Madam: Bon Voyage,51.4879,2026-08-12,0.0,0
94,671,Harry Potter and the Philosopher's Stone,51.4933,2001-11-16,7.901,29918
95,533535,Deadpool & Wolverine,50.3144,2024-07-24,7.583,9063
96,840464,Greenland 2: Migration,50.358,2026-01-07,6.429,1414
97,1368314,Passenger,44.8123,2026-05-20,7.311,673
98,532794,Sex Plate 17,47.1536,2017-11-13,5.786,14
99,98894,Jessica,47.8028,1962-04-19,4.294,17
100,68718,Django Unchained,42.8873,2012-12-25,8.193,28319
101,1567187,A Mother's Recall,43.0969,2025-10-21,5.0,1
102,862,Toy Story,49.4793,1995-11-22,7.984,20258
103,1305672,I Know Who You Are,47.7496,2026-06-19,6.2,5
104,1101412,Fall 2: Deadpoint,49.1113,2026-09-02,0.0,0
105,603,The Matrix,48.6068,1999-03-31,8.253,28333
106,19995,Avatar,41.1466,2009-12-16,7.61,34360
107,1726,Iron Man,48.4453,2008-04-30,7.7,28443
108,1599191,仙逆剧场版 弑仙之战,53.746,,0.0,0
109,391312,Mourning Wife,50.406,2001-09-28,3.0,4
110,1325734,The Drama,48.8726,2026-04-01,6.904,1454
111,1337148,Aisha Can't Fly Away,41.0189,2025-05-20,5.5,4
112,1061474,Superman,45.695,2025-07-09,7.323,5184
113,299534,Avengers: Endgame,48.872,2019-04-24,8.239,28186
114,1212763,Evil Dead Burn,43.8004,2026-07-07,6.8,226
115,986056,Thunderbolts*,48.324,2025-04-30,7.295,3783
116,1241982,Moana 2,44.6861,2024-11-21,6.987,3192
117,1368166,The Housemaid,41.4337,2025-12-18,7.269,2788
118,11,Star Wars,44.0799,1977-05-25,8.206,22589
119,120,The Lord of the Rings: The Fellowship of the Ring,46.8713,2001-12-18,8.44,27991
120,1212763,Evil Dead Burn,43.8004,2026-07-07,6.8,226
121,1265609,War Machine,43.5051,2026-02-12,7.44,2216
122,99861,Avengers: Age of Ultron,44.4862,2015-04-22,7.276,24712
123,5721,Vixen!,41.3936,1968-10-15,5.529,105
124,1361774,The Dink,35.5916,2026-07-23,6.265,83
125,350,The Devil Wears Prada,41.6951,2006-06-29,7.44,14012
126,385687,Fast X,42.3562,2023-05-17,7.0,6417
127,1272837,28 Years Later: The Bone Temple,41.9341,2026-01-14,7.11,1534
128,1305781,Blades of the Guardians,42.2152,2026-02-17,7.988,170
129,680,Pulp Fiction,42.8223,1994-09-10,8.5,30551
130,496243,Parasite,42.3945,2019-05-30,8.489,20996
131,233604,Women Hell Song,44.399,1970-12-01,4.9,8
132,1235877,Jana Nayagan,39.256,2026-07-22,5.4,9
133,1297842,GOAT,41.771,2026-02-11,8.105,951
134,14836,Coraline,39.952,2009-02-05,7.923,9214
135,597,Titanic,39.7146,1997-12-18,7.901,27464
136,1491920,Kung Fu Soccer,39.764,2026-07-11,6.2,17
137,121,The Lord of the Rings: The Two Towers,41.5668,2002-12-18,8.425,24260
138,10681,WALL·E,36.3037,2008-06-26,8.118,20577
139,98,Gladiator,41.7382,2000-05-04,8.23,21191
140,911430,F1,37.8664,2025-06-25,7.814,4372
141,687259,Ghost Stories,36.9463,1982-01-01,6.2,2
142,1723013,Hibla 2,39.1172,2026-06-30,3.0,1
143,453395,Doctor Strange in the Multiverse of Madness,40.1634,2022-05-04,7.232,10560
144,1198994,Send Help,35.3007,2026-01-22,7.043,2074
145,1233413,Sinners,36.4,2025-04-16,7.5,4908
146,361743,Top Gun: Maverick,39.934,2022-05-21,8.158,11271
147,1380291,Tom Clancy's Jack Ryan: Ghost War,38.3041,2026-05-20,6.959,710
148,1659155,The Truthers,33.6186,2026-07-24,5.965,57
149,200066,The Sparrow's Fluttering,46.4539,1988-01-01,4.2,12
150,1242898,Predator: Badlands,37.2378,2025-11-05,7.825,3422
151,558,Spider-Man 2,37.2842,2004-06-25,7.32,16607
152,448772,A Great Love,37.479,1995-01-01,5.0,5
153,572802,Aquaman and the Lost Kingdom,35.8734,2023-12-20,6.51,3593
154,1010581,My Fault,36.8291,2023-06-08,7.731,4151
155,1171145,Crime 101,38.3094,2026-02-11,7.015,1235
